u0,I0,Ks,KsIA,maxReserveFrac,rm,preySatVersion,id,species,scenario,cost
0.006,0.3339094937664548,1.1796545850793199,0.2776678303889365,0.850896018843001,0.06980219499713215,now_icealg,0,hyperboreus,IA,0.1398921245529214
0.006,0.42835740888651647,1.4463453737525116,0.4113511928563022,0.9018738425101243,0.13032371863199874,now_icealg,1,hyperboreus,IA,0.15896233541687138
0.006,0.4469798098223361,0.840152598466661,0.7521764403187419,0.9195883922541961,0.16750373983239986,now_icealg,2,hyperboreus,IA,0.16382313697543435
0.006,0.45010982070434075,1.13114237295963,0.46957530965706684,0.8976405596210435,0.1499038743645068,now_icealg,3,hyperboreus,IA,0.1839932294054103
0.006,0.40268532648161515,0.9894865005483348,0.7322225112301863,0.9190770548980693,0.1387822958263203,now_icealg,4,hyperboreus,IA,0.18920051457267312
0.006,0.4600776764481058,1.1676766191218049,0.7529752118648391,0.8805405525221458,0.13244163793342265,now_icealg,5,hyperboreus,IA,0.1898854282984771
0.006,0.4153447053799199,1.1124623171876096,0.748042067048302,0.8955830200330657,0.12367660555669185,now_icealg,6,hyperboreus,IA,0.190086333397373
0.006,0.38961283708006705,1.398932201549755,0.5241408187796481,0.8929645665911212,0.08548575625099084,now_icealg,7,hyperboreus,IA,0.1953350053670703
0.006,0.38939319785140575,1.1738088786128893,0.7817612545239138,0.9635005570005604,0.13433629843896644,now_icealg,8,hyperboreus,IA,0.2097546675899925
0.006,0.365920130571917,1.4001181444837218,0.4251781639769605,0.8691941536246038,0.06705834301008494,now_icealg,9,hyperboreus,IA,0.2100909060667693
0.006,0.3444683360954297,0.8059140365229618,0.7558240594773151,0.8645232593598975,0.06361634658081691,default,10,hyperboreus,noIA,0.17684446759065098
0.006,0.44138057154036137,0.6114346807876816,0.22533438521921734,0.9143630044720641,0.18185676910216547,default,11,hyperboreus,noIA,0.18786917731829222
0.006,0.32029597655123276,0.7437993106665417,0.16032044799126155,0.926388758004859,0.08853590070890635,default,12,hyperboreus,noIA,0.20982966853192664
0.006,0.3676844948001657,0.5707351698112788,0.4238577726815238,0.9266546909019265,0.1545884205271557,default,13,hyperboreus,noIA,0.21106332497318273
0.006,0.3281948982323424,1.2829375085244867,0.7873790801908394,0.935773229426614,0.08563656252946737,default,14,hyperboreus,noIA,0.2315094377532262
0.006,0.3783242686185602,0.660652526980509,0.5868766455227696,0.8987736760594731,0.1499748969026698,default,15,hyperboreus,noIA,0.23419053241912977
0.006,0.3185748347711409,0.5976184524570995,0.2531775117395085,0.8247922694983955,0.06539129891063541,default,16,hyperboreus,noIA,0.24331111316332246
0.006,0.38405260925288986,0.5289835917536923,0.41389092524534876,0.8854467540262267,0.1531700074776953,default,17,hyperboreus,noIA,0.24931180163132155
0.006,0.3471798196799846,0.537869968905076,0.24025537814543732,0.8336983016430706,0.10009029529212668,default,18,hyperboreus,noIA,0.25203938263333914
0.006,0.3263386385709832,1.0611374210639632,0.347022091182698,0.9365402909616362,0.11242996817758692,default,19,hyperboreus,noIA,0.25231252177363256
0.007,0.336355960522142,0.8340504138028167,0.5681120607402378,0.8002019304416719,0.17673342625692234,now_icealg,20,glacialis,IA,0.2040328859798837
0.007,0.33743458600570675,1.152760728068165,0.7890141073069933,0.835381562177104,0.1518914643338765,now_icealg,21,glacialis,IA,0.22617647816651257
0.007,0.3526816634458669,0.6401000530689624,0.6681736297449304,0.936949530165369,0.22605889353167674,now_icealg,22,glacialis,IA,0.23113298755427614
0.007,0.33332304491691034,1.2369538104852675,0.1655880631825608,0.7584794552294422,0.20633273812642533,now_icealg,23,glacialis,IA,0.23593960092973296
0.007,0.3627386436968191,1.1643335197238835,0.4702699096202697,0.9237741882168323,0.19401834050473782,now_icealg,24,glacialis,IA,0.2401252250758524
0.007,0.31400591680954615,1.1778193349794848,0.788722777272027,0.8135452093522391,0.1388615984226079,now_icealg,25,glacialis,IA,0.2473889278961656
0.007,0.30244277302920053,0.9905464908060145,0.5726613266262152,0.8042004481693326,0.14241413128029756,now_icealg,26,glacialis,IA,0.24769941113709396
0.007,0.31697149655386947,0.7642664001912363,0.5843549497693801,0.8235195193814275,0.16686873265458269,now_icealg,27,glacialis,IA,0.24814394365634013
0.007,0.35863320370606,0.9174869006254018,0.7600200066217375,0.9272900457072748,0.19077765816398357,now_icealg,28,glacialis,IA,0.25287965732074646
0.007,0.30890656224388413,0.5639091674205418,0.7335665162655055,0.8595202769209369,0.19746493504506724,now_icealg,29,glacialis,IA,0.2613536396842252
