object_id,ecotaxa_img_classif,pros_pred_mask_pixel_area,pros_pred_mask_mm2_area,lip_pred_mask_pixel_area,lip_pred_mask_mm2_area,apsilon_lip_pred_mask_pixel_area,apsilon_lip_pred_mask_mm2_area,object_lat,object_lon,object_date,object_time,object_depth_min,sample_id,sample_lat,sample_long,stage,orientation,species,total_lipids,apsilon_total_lipids,fullness_ratio,month,year,species_stage
20150422 181531  139  000000 0236 0356,female+lateral<Calanus hyperboreus,27942,14.781318,9926,5.250853999999999,7106,3.759074,67.4797,-63.7895,2015-04-22,18:15:31,343.431819683028,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.9426007289159233,1.224835693702945,0.2543125044735523,4,2015,Calanus hyperboreus_female
20150422 181538  403  000000 0344 0218,civstage+lateral<Calanus hyperboreus,7312,3.868047999999999,3037,1.606573,3134,1.657886,67.4797,-63.7895,2015-04-22,18:15:38,340.7738517418287,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.3789735207227845,0.395778012007997,0.4286105032822758,4,2015,Calanus hyperboreus_civstage
20150422 181538  436  000000 0782 0164,civstage+ventral<Calanus hyperboreus,5677,3.003133,1936,1.024144,2236,1.182844,67.4797,-63.7895,2015-04-22,18:15:38,340.7738517418287,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.2035937495046411,0.2483740028109626,0.3938700017614937,4,2015,Calanus hyperboreus_civstage
20150422 181539  003  000000 0212 0560,female+lateral<Calanus hyperboreus,23302,12.326758,10413,5.508476999999999,7459,3.945811,67.4797,-63.7895,2015-04-22,18:15:39,340.3713016044622,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,2.075342366510197,1.3095868075134955,0.3201012788601837,4,2015,Calanus hyperboreus_female
20150422 181539  036  000000 0752 0686,female+lateral<Calanus hyperboreus,23648,12.509792,9971,5.274659,9071,4.798559,67.4797,-63.7895,2015-04-22,18:15:39,340.3713016044622,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,female,lateral,Calanus hyperboreus,1.9547646741499751,1.7155334242044324,0.3835842354533153,4,2015,Calanus hyperboreus_female
20150422 181540  935  000000 0968 0092,civstage+ventral<Calanus hyperboreus,8103,4.286486999999999,4074,2.155146,3058,1.617682,67.4797,-63.7895,2015-04-22,18:15:40,339.9688512069711,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,ventral,Calanus hyperboreus,0.5684130858864173,0.3825945483945571,0.3773910897198569,4,2015,Calanus hyperboreus_civstage
20150422 181541  102  000000 0200 0374,cvstage+lateral<Calanus glacialis,9391,4.967839,4285,2.266765,3816,2.018664,67.4797,-63.7895,2015-04-22,18:15:41,339.5742802596416,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.6094347215444487,0.5193433783203688,0.4063465019699712,4,2015,Calanus glacialis_cvstage
20150422 181543  501  000001 0770 0782,civstage+lateral<Calanus hyperboreus,6979,3.691891,2756,1.457924,2046,1.082334,67.4797,-63.7895,2015-04-22,18:15:43,338.7765607356928,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.3314517892941156,0.2197277062479835,0.2931652099154606,4,2015,Calanus hyperboreus_civstage
20150422 181543  534  000001 0860 0830,civstage+lateral<Calanus hyperboreus,6558,3.469182,2824,1.493896,3109,1.644661,67.4797,-63.7895,2015-04-22,18:15:43,338.7765607356928,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,civstage,lateral,Calanus hyperboreus,0.3427901460382813,0.3914277847620616,0.4740774626410491,4,2015,Calanus hyperboreus_civstage
20150422 181545  633  000000 0356 0596,cvstage+lateral<Calanus glacialis,8577,4.537233,3455,1.827695,3777,1.998033,67.4797,-63.7895,2015-04-22,18:15:45,337.9809357491287,20150422_St-Qikiqtarjuak-Ice Camp_cast#1,67.4797,-63.7895,cvstage,lateral,Calanus glacialis,0.4527863907486557,0.5120329303468446,0.4403637635536901,4,2015,Calanus glacialis_cvstage
